;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:27:09;0.9982701;08:27:09;0.9974543;08:27:09;21;0;08:27:09;11;2;08:27:09;0;08:27:09;0
08:27:10;10.001.556;08:27:10;0.9995593;08:27:10;21;0;08:27:10;11;2;08:27:10;0;08:27:10;0
08:27:11;0.9995906;08:27:11;0.9931706;08:27:11;21;0;08:27:11;11;2;08:27:11;0;08:27:11;0
08:27:12;0.9986756;08:27:12;0.9997762;08:27:12;21;0;08:27:12;11;2;08:27:12;0;08:27:12;0
08:27:13;10.013.832;08:27:13;0.9972131;08:27:13;21;0;08:27:13;11;2;08:27:13;0;08:27:13;0
08:27:14;10.002.145;08:27:14;10.069.455;08:27:14;21;0;08:27:14;11;2;08:27:14;0;08:27:14;0
08:27:15;10.010.161;08:27:15;10.012.332;08:27:15;21;0;08:27:15;11;2;08:27:15;0;08:27:15;0
08:27:16;0.9998828;08:27:16;10.054.299;08:27:16;21;0;08:27:16;11;2;08:27:16;0;08:27:16;0
08:27:17;1.000.471;08:27:17;1.000.804;08:27:17;21;0;08:27:17;11;2;08:27:17;0;08:27:17;0
08:27:18;0.9997068;08:27:18;0.9990369;08:27:18;21;0;08:27:18;11;2;08:27:18;0;08:27:18;0
08:27:19;0.9974746;08:27:19;0.9979733;08:27:19;21;0;08:27:19;11;2;08:27:19;0;08:27:19;0
08:27:20;10.004.534;08:27:20;10.020.882;08:27:20;21;0;08:27:20;11;2;08:27:20;0;08:27:20;0
08:27:21;10.027.204;08:27:21;10.010.404;08:27:21;21;0;08:27:21;11;2;08:27:21;0;08:27:21;0
08:27:22;0.9998943;08:27:22;0.9980765;08:27:22;21;0;08:27:22;11;2;08:27:22;0;08:27:22;0
08:27:23;0.9993803;08:27:23;0.9993328;08:27:23;21;0;08:27:23;11;2;08:27:23;0;08:27:23;0
08:27:24;10.002.998;08:27:24;10.018.905;08:27:24;21;0;08:27:24;11;2;08:27:24;0;08:27:24;0
08:27:25;100.043;08:27:25;0.9999581;08:27:25;21;0;08:27:25;11;1;08:27:25;0;08:27:25;0
08:27:26;0.996604;08:27:26;0.9975698;08:27:26;21;0;08:27:26;11;1;08:27:26;0;08:27:26;0
08:27:27;0.9952919;08:27:27;0.9973781;08:27:27;21;0;08:27:27;11;1;08:27:27;0;08:27:27;0
08:27:28;10.026.556;08:27:28;10.063.283;08:27:28;21;0;08:27:28;11;1;08:27:28;0;08:27:28;0
08:27:29;10.015.471;08:27:29;0.9983476;08:27:29;21;0;08:27:29;11;1;08:27:29;0;08:27:29;0
08:27:30;0.9962906;08:27:30;0.9991081;08:27:30;21;0;08:27:30;11;1;08:27:30;0;08:27:30;0
08:27:31;0.9993801;08:27:31;10.026.181;08:27:31;21;0;08:27:31;11;1;08:27:31;0;08:27:31;0
08:27:32;10.027.723;08:27:32;0.9998877;08:27:32;21;0;08:27:32;11;1;08:27:32;0;08:27:32;0
08:27:33;10.053.687;08:27:33;0.999909;08:27:33;21;0;08:27:33;11;1;08:27:33;0;08:27:33;0
08:27:34;0.9941487;08:27:34;10.001.979;08:27:34;21;0;08:27:34;11;1;08:27:34;0;08:27:34;0
08:27:35;0.9977282;08:27:35;10.003.441;08:27:35;21;0;08:27:35;11;1;08:27:35;0;08:27:35;0
