time,alloc,orphan,inuse,timewait
2022-10-02 16:31:39,33,0,14,1
2022-10-02 16:31:40,33,0,14,0
2022-10-02 16:31:41,33,0,14,0
2022-10-02 16:31:42,33,0,14,0
2022-10-02 16:31:43,33,0,14,0
2022-10-02 16:31:44,33,0,14,0
2022-10-02 16:31:45,33,0,14,0
2022-10-02 16:31:46,33,0,14,0
2022-10-02 16:31:47,33,0,14,0
2022-10-02 16:31:48,33,0,14,0
2022-10-02 16:31:49,33,0,14,0
2022-10-02 16:31:50,33,0,14,0
2022-10-02 16:31:51,33,0,14,0
2022-10-02 16:31:52,33,0,14,0
2022-10-02 16:31:53,33,0,14,0
2022-10-02 16:31:54,33,0,14,0
2022-10-02 16:31:55,33,0,14,0
