;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:49:16;10.006.771;08:49:16;0.9989854;08:49:16;33;0;08:49:16;18;268;08:49:16;0;08:49:16;0
08:49:17;10.009.777;08:49:17;0.9993636;08:49:17;33;0;08:49:17;18;268;08:49:17;0;08:49:17;0
08:49:18;0.999298;08:49:18;0.9915137;08:49:18;33;0;08:49:18;14;268;08:49:18;0;08:49:18;0
08:49:19;0.997058;08:49:19;0.9916225;08:49:19;33;0;08:49:19;14;268;08:49:19;0;08:49:19;0
08:49:20;10.000.061;08:49:20;10.181.635;08:49:20;33;0;08:49:20;14;268;08:49:20;0;08:49:20;0
08:49:21;10.027.277;08:49:21;0.9993434;08:49:21;33;0;08:49:21;14;268;08:49:21;0;08:49:21;0
08:49:22;0.9996719;08:49:22;0.9988153;08:49:22;33;0;08:49:22;14;268;08:49:22;0;08:49:22;0
08:49:23;10.004.676;08:49:23;10.011.042;08:49:23;33;0;08:49:23;14;268;08:49:23;0;08:49:23;0
08:49:24;0.9992665;08:49:24;10.002.657;08:49:24;33;0;08:49:24;14;268;08:49:24;0;08:49:24;0
08:49:25;0.999848;08:49:25;0.9991456;08:49:25;33;0;08:49:25;14;150;08:49:25;0;08:49:25;0
08:49:26;10.011.529;08:49:26;10.016.152;08:49:26;33;0;08:49:26;14;150;08:49:26;0;08:49:26;0
08:49:27;1.000.255;08:49:27;0.9975143;08:49:27;33;0;08:49:27;14;150;08:49:27;0;08:49:27;0
08:49:28;0.9990772;08:49:28;0.996433;08:49:28;33;0;08:49:28;14;150;08:49:28;0;08:49:28;0
08:49:29;0.9995334;08:49:29;10.025.708;08:49:29;33;0;08:49:29;14;150;08:49:29;0;08:49:29;0
08:49:30;10.004.835;08:49:30;10.029.952;08:49:30;33;0;08:49:30;14;150;08:49:30;0;08:49:30;0
08:49:31;0.9996983;08:49:31;0.9997859;08:49:31;33;0;08:49:31;14;150;08:49:31;0;08:49:31;0
08:49:32;0.9994073;08:49:32;0.9970123;08:49:32;33;0;08:49:32;14;150;08:49:32;0;08:49:32;0
08:49:33;0.9993779;08:49:33;0.999949;08:49:33;33;0;08:49:33;14;150;08:49:33;0;08:49:33;0
08:49:34;10.018.505;08:49:34;10.037.964;08:49:34;33;0;08:49:34;14;150;08:49:34;0;08:49:34;0
08:49:35;0.9972389;08:49:35;0.9999917;08:49:35;33;0;08:49:35;14;150;08:49:35;0;08:49:35;0
08:49:36;0.9942284;08:49:36;0.9993525;08:49:36;33;0;08:49:36;14;150;08:49:36;0;08:49:36;0
08:49:37;10.009.928;08:49:37;0.9991864;08:49:37;33;0;08:49:37;14;150;08:49:37;0;08:49:37;0
08:49:38;10.059.946;08:49:38;10.009.885;08:49:38;33;0;08:49:38;14;150;08:49:38;0;08:49:38;0
08:49:39;10.017.462;08:49:39;1.000.118;08:49:39;33;0;08:49:39;14;150;08:49:39;0;08:49:39;0
08:49:40;0.9999815;08:49:40;0.9997243;08:49:40;33;0;08:49:40;14;150;08:49:40;0;08:49:40;0
08:49:41;10.000.519;08:49:41;10.007.181;08:49:41;33;0;08:49:41;14;66;08:49:41;0;08:49:41;0
08:49:42;10.003.782;08:49:42;10.000.569;08:49:42;33;0;08:49:42;14;66;08:49:42;0;08:49:42;0
08:49:43;0.998847;08:49:43;0.9997188;08:49:43;33;0;08:49:43;14;66;08:49:43;0;08:49:43;0
08:49:44;0.9996178;08:49:44;0.9995635;08:49:44;33;0;08:49:44;14;66;08:49:44;0;08:49:44;0
08:49:45;10.013.414;08:49:45;0.9997692;08:49:45;33;0;08:49:45;14;66;08:49:45;0;08:49:45;0
08:49:46;0.998135;08:49:46;10.007.285;08:49:46;33;0;08:49:46;14;66;08:49:46;0;08:49:46;0
08:49:47;0.9994917;08:49:47;0.9996536;08:49:47;33;0;08:49:47;14;66;08:49:47;0;08:49:47;0
08:49:48;10.012.319;08:49:48;10.004.712;08:49:48;33;0;08:49:48;14;66;08:49:48;0;08:49:48;0
08:49:49;10.001.034;08:49:49;0.9999645;08:49:49;33;0;08:49:49;14;66;08:49:49;0;08:49:49;0
08:49:50;10.015.335;08:49:50;0.9998052;08:49:50;33;0;08:49:50;14;66;08:49:50;0;08:49:50;0
08:49:51;0.9960972;08:49:51;10.003.528;08:49:51;33;0;08:49:51;14;66;08:49:51;0;08:49:51;0
08:49:52;0.9988743;08:49:52;0.9984754;08:49:52;33;0;08:49:52;14;21;08:49:52;0;08:49:52;0
08:49:53;10.030.943;08:49:53;0.9963638;08:49:53;33;0;08:49:53;14;21;08:49:53;0;08:49:53;0
08:49:54;0.9989052;08:49:54;0.9953839;08:49:54;33;0;08:49:54;14;21;08:49:54;0;08:49:54;0
08:49:55;10.004.486;08:49:55;0.997353;08:49:55;33;0;08:49:55;14;21;08:49:55;0;08:49:55;0
08:49:56;0.9994538;08:49:56;0.9987728;08:49:56;33;0;08:49:56;14;21;08:49:56;0;08:49:56;0
